"ID";"Gender";"Periods";"TotalDeaths_1"
"72";"3000   ";"1950JJ00";"   39121"
"73";"3000   ";"1951JJ00";"   40294"
"74";"3000   ";"1952JJ00";"   39467"
"75";"3000   ";"1953JJ00";"   42128"
"76";"3000   ";"1954JJ00";"   41970"
"77";"3000   ";"1955JJ00";"   43445"
"78";"3000   ";"1956JJ00";"   44835"
"79";"3000   ";"1957JJ00";"   44088"
"80";"3000   ";"1958JJ00";"   45184"
"81";"3000   ";"1959JJ00";"   46632"
"82";"3000   ";"1960JJ00";"   47499"
"83";"3000   ";"1961JJ00";"   48235"
"84";"3000   ";"1962JJ00";"   51866"
"85";"3000   ";"1963JJ00";"   53054"
"86";"3000   ";"1964JJ00";"   51990"
"87";"3000   ";"1965JJ00";"   54484"
"88";"3000   ";"1966JJ00";"   55638"
"89";"3000   ";"1967JJ00";"   55785"
"90";"3000   ";"1968JJ00";"   58627"
"91";"3000   ";"1969JJ00";"   59558"
"92";"3000   ";"1970JJ00";"   61052"
"93";"3000   ";"1971JJ00";"   61148"
"94";"3000   ";"1972JJ00";"   63193"
"95";"3000   ";"1973JJ00";"   61458"
"96";"3000   ";"1974JJ00";"   60605"
"97";"3000   ";"1975JJ00";"   63526"
"98";"3000   ";"1976JJ00";"   63963"
"99";"3000   ";"1977JJ00";"   61260"
"100";"3000   ";"1978JJ00";"   63623"
"101";"3000   ";"1979JJ00";"   62201"
"102";"3000   ";"1980JJ00";"   63301"
"103";"3000   ";"1981JJ00";"   63470"
"104";"3000   ";"1982JJ00";"   64146"
"105";"3000   ";"1983JJ00";"   64269"
"106";"3000   ";"1984JJ00";"   64798"
"107";"3000   ";"1985JJ00";"   65847"
"108";"3000   ";"1986JJ00";"   66653"
"109";"3000   ";"1987JJ00";"   64956"
"110";"3000   ";"1988JJ00";"   65401"
"111";"3000   ";"1989JJ00";"   67089"
"112";"3000   ";"1990JJ00";"   66628"
"113";"3000   ";"1991JJ00";"   66679"
"114";"3000   ";"1992JJ00";"   66264"
"115";"3000   ";"1993JJ00";"   69884"
"116";"3000   ";"1994JJ00";"   67028"
"117";"3000   ";"1995JJ00";"   68229"
"118";"3000   ";"1996JJ00";"   69008"
"119";"3000   ";"1997JJ00";"   67243"
"120";"3000   ";"1998JJ00";"   68209"
"121";"3000   ";"1999JJ00";"   68872"
"122";"3000   ";"2000JJ00";"   68773"
"123";"3000   ";"2001JJ00";"   68319"
"124";"3000   ";"2002JJ00";"   68998"
"125";"3000   ";"2003JJ00";"   69012"
"126";"3000   ";"2004JJ00";"   66359"
"127";"3000   ";"2005JJ00";"   66362"
"128";"3000   ";"2006JJ00";"   65294"
"129";"3000   ";"2007JJ00";"   64797"
"130";"3000   ";"2008JJ00";"   64902"
"131";"3000   ";"2009JJ00";"   65365"
"132";"3000   ";"2010JJ00";"   65977"
"133";"3000   ";"2011JJ00";"   65259"
"134";"3000   ";"2012JJ00";"   67907"
"135";"3000   ";"2013JJ00";"   68360"
"136";"3000   ";"2014JJ00";"   67121"
"137";"3000   ";"2015JJ00";"   71029"
"138";"3000   ";"2016JJ00";"   72180"
"139";"3000   ";"2017JJ00";"   72661"
"140";"3000   ";"2018JJ00";"   74522"
"141";"3000   ";"2019JJ00";"   74432"
"142";"3000   ";"2020JJ00";"   84317"
"143";"3000   ";"2021JJ00";"   85769"
"144";"4000   ";"1950JJ00";"   36808"
"145";"4000   ";"1951JJ00";"   37266"
"146";"4000   ";"1952JJ00";"   36879"
"147";"4000   ";"1953JJ00";"   38773"
"148";"4000   ";"1954JJ00";"   37653"
"149";"4000   ";"1955JJ00";"   38263"
"150";"4000   ";"1956JJ00";"   39974"
"151";"4000   ";"1957JJ00";"   38873"
"152";"4000   ";"1958JJ00";"   39307"
"153";"4000   ";"1959JJ00";"   39440"
"154";"4000   ";"1960JJ00";"   40326"
"155";"4000   ";"1961JJ00";"   40086"
"156";"4000   ";"1962JJ00";"   42103"
"157";"4000   ";"1963JJ00";"   42680"
"158";"4000   ";"1964JJ00";"   41447"
"159";"4000   ";"1965JJ00";"   43542"
"160";"4000   ";"1966JJ00";"   44878"
"161";"4000   ";"1967JJ00";"   44007"
"162";"4000   ";"1968JJ00";"   46362"
"163";"4000   ";"1969JJ00";"   48057"
"164";"4000   ";"1970JJ00";"   48567"
"165";"4000   ";"1971JJ00";"   49095"
"166";"4000   ";"1972JJ00";"   50383"
"167";"4000   ";"1973JJ00";"   49224"
"168";"4000   ";"1974JJ00";"   48645"
"169";"4000   ";"1975JJ00";"   50211"
"170";"4000   ";"1976JJ00";"   50491"
"171";"4000   ";"1977JJ00";"   48833"
"172";"4000   ";"1978JJ00";"   50792"
"173";"4000   ";"1979JJ00";"   50364"
"174";"4000   ";"1980JJ00";"   50978"
"175";"4000   ";"1981JJ00";"   52045"
"176";"4000   ";"1982JJ00";"   53118"
"177";"4000   ";"1983JJ00";"   53492"
"178";"4000   ";"1984JJ00";"   55014"
"179";"4000   ";"1985JJ00";"   56857"
"180";"4000   ";"1986JJ00";"   58654"
"181";"4000   ";"1987JJ00";"   57243"
"182";"4000   ";"1988JJ00";"   58762"
"183";"4000   ";"1989JJ00";"   61816"
"184";"4000   ";"1990JJ00";"   62196"
"185";"4000   ";"1991JJ00";"   63279"
"186";"4000   ";"1992JJ00";"   63623"
"187";"4000   ";"1993JJ00";"   67911"
"188";"4000   ";"1994JJ00";"   66443"
"189";"4000   ";"1995JJ00";"   67446"
"190";"4000   ";"1996JJ00";"   68553"
"191";"4000   ";"1997JJ00";"   68540"
"192";"4000   ";"1998JJ00";"   69273"
"193";"4000   ";"1999JJ00";"   71615"
"194";"4000   ";"2000JJ00";"   71754"
"195";"4000   ";"2001JJ00";"   72058"
"196";"4000   ";"2002JJ00";"   73357"
"197";"4000   ";"2003JJ00";"   72924"
"198";"4000   ";"2004JJ00";"   70194"
"199";"4000   ";"2005JJ00";"   70040"
"200";"4000   ";"2006JJ00";"   70078"
"201";"4000   ";"2007JJ00";"   68225"
"202";"4000   ";"2008JJ00";"   70234"
"203";"4000   ";"2009JJ00";"   68870"
"204";"4000   ";"2010JJ00";"   70081"
"205";"4000   ";"2011JJ00";"   70482"
"206";"4000   ";"2012JJ00";"   72906"
"207";"4000   ";"2013JJ00";"   72885"
"208";"4000   ";"2014JJ00";"   72102"
"209";"4000   ";"2015JJ00";"   76105"
"210";"4000   ";"2016JJ00";"   76817"
"211";"4000   ";"2017JJ00";"   77553"
"212";"4000   ";"2018JJ00";"   78841"
"213";"4000   ";"2019JJ00";"   77453"
"214";"4000   ";"2020JJ00";"   84361"
"215";"4000   ";"2021JJ00";"   85203"
